MTG Name,Rules,Cost,Spark,Fast?,Interrupt?,Type,Tags
,▸Challenge: Banish an enemy until end of turn.,3,1,FALSE,FALSE,Other,
"Phelia, Exuberant Shepherd",▸Challenge: Rematerialize an ally.,2,2,TRUE,FALSE,Other,
Gush,"Offering

Draw 2 cards.",4,,TRUE,TRUE,Event,
Noble Hierarch,▸Dawn: Gain 1●.,1,0,FALSE,FALSE,Spirit Animal,Elves
Ephemerate,"Rematerialize an ally.

Reclaim 1●.",1,,FALSE,FALSE,Event,
Poxwalkers,"Vengeful

When you play a card from your void, return this character to play.",3,2,FALSE,FALSE,Survivor,
Timetwister,"Each player shuffles their hand and void into their deck, then draws 5 cards. Banish this card.",3,,FALSE,FALSE,Event,
,"☪: Draw a card, then discard a card.",2,1,FALSE,FALSE,Other,Merfolk Looter
Currency Converter,"When you discard a card, store 1⧗.

☪, 1⧗: Materialize a 2✦ radiant figment.",1,1,FALSE,FALSE,Warrior,
Sword of the Meek,"When you materialize a character with 1✦, materialize this character from your void.",2,2,FALSE,FALSE,Warrior,
Incandescent Ritual,Gain 4●.,1,,FALSE,FALSE,Event,
Night's Whisper,Draw 2 cards. The opponent gains 2⍟.,2,,FALSE,FALSE,Event,
Craterhoof Behemoth,"Until end of turn, allied characters gain unstoppable and +X✦ where X is the number of allied characters.",7,,FALSE,FALSE,Event,
Enduring Renewal,"Until end of turn, when an ally is dissolved, return it to your hand.",3,0,FALSE,FALSE,Event,
Mox Opal,"▸Dawn: With 3 allied spirit animals, Gain 1●.",0,0,FALSE,FALSE,Spirit Animal,
,"When you play an event, draw a card, then discard a card.",2,1,FALSE,FALSE,Other,
,"When you play an event, awaken each allied character.",3,3,FALSE,FALSE,Other,
Jeskai Ascendancy,"When you play an event, allied characters gain +1✦ this turn.",3,2,FALSE,FALSE,Other,
Recruiter of the Guard,▸Materialized: Discover a character with 2✦ or less.,3,1,FALSE,FALSE,Other,
Vampiric Tutor,Choose a value of X. Discover an event with cost X.,1,,FALSE,FALSE,Event,Discover
"Anafenza, Kin-Tree Spirit","Cards you reclaim are not banished when they leave play.

2●, ☪: A character in your void gains reclaim until end of turn.",2,2,FALSE,FALSE,Other,
