Hogaak, Arisen Necropolis
Elves of Deep Shadow
Llanowar Elves
Noble Hierarch
Carrion Feeder
Ignoble Hierarch
Putrid Goblin
Fauna Shaman
Safehold Elite
Samwise Gamgee
Elvish Visionary
Devoted Druid
Kitchen Finks
Liliana's Standard Bearer
Phyrexian Tower
Breeding Pool
Snow-Covered Forest
Snow-Covered Forest
Snow-Covered Forest
Snow-Covered Forest
Snow-Covered Forest
Snow-Covered Forest
Wooded Foothills
Verdant Catacombs
Tropical Island
Gaea's Cradle
Overgrown Tomb
Snow-Covered Plains
Mox Sapphire
Marsh Flats
Flooded Strand
Zagoth Triome
Swift Reconfiguration
Sol Ring
Altar of Dementia
Insidious Roots
Spawning Pit
Phyrexian Altar
Collected Company
Aluren
