Walking Ballista
Hangarback Walker
Patchwork Automaton
Myr Retriever
Ethersworn Canonist
Ingenious Smith
Workshop Assistant
Digsite Engineer
Lodestone Golem
Teshar, Ancestor's Apostle
Lotus Petal
Snow-Covered Island
Snow-Covered Island
Savannah
Godless Shrine
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Mox Opal
Mox Ruby
Sensei's Divining Top
Springleaf Drum
Enlightened Tutor
Ichor Wellspring
Thopter Foundry
Nettlecyst
Second Sunrise
Ashnod's Altar
Faith's Reward
Krark-Clan Ironworks
