Walking Ballista
Refurbished Familiar
Thought Monitor
Patchwork Automaton
Arcbound Ravager
Perilous Myr
Scrap Trawler
Workshop Assistant
Mana Crypt
Mox Emerald
Blood Crypt
Underground Sea
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Mishra's Bauble
Mishra's Workshop
Snow-Covered Swamp
Snow-Covered Swamp
Snow-Covered Swamp
Tolarian Academy
Polluted Delta
Sensei's Divining Top
Chromatic Sphere
Mana Vault
Retrofitter Foundry
Repeal
Arcum's Astrolabe
Chromatic Star
Genesis Chamber
Sword of the Meek
Thopter Foundry
Ashnod's Altar
Kaito Shizuki
