Thought Monitor
Stoneforge Mystic
Baleful Strix
Lion Sash
Wall of Omens
Myr Retriever
Ethersworn Canonist
Ingenious Smith
Junk Diver
Scrap Trawler
Losheel, Clockwork Scholar
Urza, Lord High Artificer
Lotus Petal
Black Lotus
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Snow-Covered Island
Raffine's Tower
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Plains
Snow-Covered Swamp
Mox Opal
Flooded Strand
Mana Tithe
Currency Converter
Enlightened Tutor
Chromatic Star
Demonic Tutor
Thopter Foundry
Lingering Souls
Tinker
