cea847ef-2d1f-45d2-a0e0-fe9ce3fec55c # Starchaser
48257e3e-9600-4edf-a905-e73a41ab5ec1 # Ethereal Trailblazer
7f550d4e-c6a1-4e5e-ae0c-1b3edd6f0f4a # Stoneborn Eternal
f38ab9b6-bea7-4c6e-b5db-2609796ba46b # Dawnprowler Panther
7992dbb5-ca45-4066-aca3-ff1d6d87619e # Moonbound Wolf
edb479be-68a5-45bc-bd19-2602156edb57 # Mystic Runefish
9b9c2743-75b3-499d-b5fb-c3429c92d420 # Driftcaller Sovereign
691883df-63d8-4664-a1fe-d5f3b5becd11 # Dawnhorn Elder
f0165a60-df1c-41db-87bb-a784c26835a5 # Blazebound Sentinel
eed92573-8052-494c-adae-9838de5375a1 # Mountainwatch Alpha
965ce3b2-a722-475c-99c5-5b35685d2404 # Dreamvale Monarch
d30bd488-f921-49cb-a44f-353c54cb6548 # Starrunner
6af8cf81-9e9e-481f-b518-f5dadad99b27 # Winterbough Monk
89c0d03c-2199-415a-bc66-89e451034328 # Sylvan Matriarch
cd2d4eaf-6295-451d-aaa2-ea74188bac3b # Young Beastcaller
0e1209c3-1041-4079-9b1c-f96816a7deb5 # Wistful Angler
db4618f6-121b-4c97-98d3-c29849c5824e # Ashen Avenger
a5056a4c-542b-4a7c-8fe6-895126c7d4c8 # Carrion Lord
3cda9dd7-cb81-43c1-9db5-1444d7363e13 # Spirit Bond
f9c66b3e-4771-4a3c-8577-9d2f1c987bc7 # Heavenward Penitent
caaee8a9-0c22-41b4-950f-4c1131b98221 # Celestial Reverie
fd5b3e85-ad7b-4d87-b4db-cd6ba0e6d277 # Nexus Wayfinder
