cea847ef-2d1f-45d2-a0e0-fe9ce3fec55c # Starchaser
61060827-8bed-4b63-b63d-6c3b0536e941 # Sunshadow Eagle
48257e3e-9600-4edf-a905-e73a41ab5ec1 # Ethereal Trailblazer
14ac6804-ed1d-4148-aad7-11796b6fff6c # Undying Fang
7f550d4e-c6a1-4e5e-ae0c-1b3edd6f0f4a # Stoneborn Eternal
691883df-63d8-4664-a1fe-d5f3b5becd11 # Dawnhorn Elder
98f16d26-be71-49ad-9034-5fafb5d3f053 # Frostbound Defiant
b8ecc46d-bd92-4826-a416-7ce177e69cbf # Emberwolf Triad
86fd585b-e9d0-4dc1-bce9-488014b9316d # Cloudmantle Ray
f0165a60-df1c-41db-87bb-a784c26835a5 # Blazebound Sentinel
0f1ac858-a28a-489b-9dd4-4d28f8f1abf5 # Skyborne Jellyfish
e2f542eb-090f-4a22-a42c-a120eb6caaa3 # Dreamborne Leviathan
a75c22ac-e343-4757-964e-a0bb981b5a28 # Spiritbound Alpha
965ce3b2-a722-475c-99c5-5b35685d2404 # Dreamvale Monarch
d30bd488-f921-49cb-a44f-353c54cb6548 # Starrunner
3e6a5236-9850-4a69-9fe1-48389365a399 # Dusk Duelist
18ff6a45-148a-40bf-85ae-4a51f32f406a # Blazing Emberwing
c8579b20-95ff-4b1d-b4c6-6bd049fc4760 # Ghostlight Wolves
4e3c04a9-1cdd-468a-b42a-40157ed9c9d6 # Eternal Stag
89c0d03c-2199-415a-bc66-89e451034328 # Sylvan Matriarch
46783333-78f9-4146-a8ec-0d1b81e1bf2f # Emerald Guardian
3cda9dd7-cb81-43c1-9db5-1444d7363e13 # Spirit Bond
ac2b2fc5-90d3-47e0-8332-25f7ba767035 # Forsaken Pact
caaee8a9-0c22-41b4-950f-4c1131b98221 # Celestial Reverie
465d3463-1d8a-466d-b91f-b1993332b4d3 # Blight Weaver
fd5b3e85-ad7b-4d87-b4db-cd6ba0e6d277 # Nexus Wayfinder
