english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Spirit Animals,Path: AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_x6rwclhnyqethggpxyhq6tzv3e,row1_7ig77d7r3hk5bjy2uay3ltxgsa,message,,data/affiliations.ron:9:13,rev1_e07b626869f49733ba8aced6adc6313a4f84ada2eef401d762db86a306e636db
Spirit Animal,"[card] Character subtype name.

Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; FigmentDefinition.name",,missing,,,tx1_wauhe4sigjn6qkrzyiuvwjdacm,row1_xxcpuyapxd7vwuro5aqj2sfrsa,message,,data/affiliations.ron:10:25; data/figments.ron:28:11; src/runtime/localization/runtime-templates.generated.ts:50:14,rev1_713f2a5ef58f69bd1e2313aa7decc6f780bd1270cb5906817fcf3cab70f95520
The Void,Path: AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_eemlvtr22fu23aywyhm2s6rtwe,row1_i4vg2hl7nhpsscc2kwgvuwdec4,message,,data/affiliations.ron:20:13,rev1_c92751017172d988e19ec4e2608939a3b903cbcf10d64bc523e2ac0ac71494ae
Void,Path: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme,,missing,,,tx1_aanudw4tmmjstwl5xa5kzr5v4e,row1_y4tu6uzvhqtizccm5ppxy4633y,message,,data/affiliations.ron:21:25,rev1_4d3fefc21947a2c0158b06fb59370cca1217585a18c59acc918b3020e34ecd8b
Tempo,Paths: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme; AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_twnb5oip6madifgdf7kt7grfpe,row1_bsdvjemidzqvhqwdz2eyj7h3oa,message,,data/affiliations.ron:31:13; data/affiliations.ron:32:25,rev1_7ff9b12bfd0617309606d8407f50f038644b078808d6c5b7808a795c4cf3540f
Events,"[card-browser] Type filter option that keeps Event cards.

Path: AffiliationCatalog.affiliations.AffiliationDefinition.name",,missing,,,tx1_ps7r7pphnhevq7kq6p25kxzcdq,row1_oeeuzxdn7atezpnymsw7sydi3i,message,,data/affiliations.ron:42:13; src/cumulus/screens/CardZoneBrowserOverlay.tsx:183:13; src/cumulus/screens/DesktopDeckViewer.tsx:555:16; src/cumulus/screens/MobileDeckViewer.tsx:332:16; src/cumulus/screens/PoolViewerScreen.tsx:448:14,rev1_6dcef6c86aaa08117a71b5c643ff2c319e3afd1e57bd0f4e062336a3780a0b3b
Event,"[loading] Card-type label above the Event example on the loading screen.

Path: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme",,missing,,,tx1_pi652t7w7os7i637kylajxp2ou,row1_caqmskgtr4p6nk2hykdz66fevi,message,,data/affiliations.ron:43:25; src/cumulus/screens/LoadingScreen.tsx:314:15,rev1_5bff6e8448acbb4ab51ed8c6868879be6e733fd93b46b25665b77453aaa76ca3
Characters,"[card-browser] Type filter option that keeps Character cards.

Path: AffiliationCatalog.affiliations.AffiliationDefinition.name",,missing,,,tx1_5f3eadihskkhkchsu6imq5lhsa,row1_jeg3csdmoboivlsq5dhh5ljwme,message,,data/affiliations.ron:53:13; src/cumulus/screens/CardZoneBrowserOverlay.tsx:179:13; src/cumulus/screens/DesktopDeckViewer.tsx:550:16; src/cumulus/screens/MobileDeckViewer.tsx:327:16; src/cumulus/screens/PoolViewerScreen.tsx:443:14,rev1_64b635fe6148ba77ad997162bd953b99ccd406a7e8678e57ba6d883250638f1d
Character,"[loading] Card-type label above the Character example on the loading screen.

Path: AffiliationCatalog.affiliations.AffiliationDefinition.atlas_card_theme",,missing,,,tx1_zqb4ii6tszvuilv3qrr6lojyty,row1_x2l45ilzpxvqmh3lzlth6knfci,message,,data/affiliations.ron:54:25; src/cumulus/screens/LoadingScreen.tsx:313:15,rev1_b4c1890dfa58505bb53da0bc8b2be8f1c6f6cdf9617595b465fb73e1c4e9c17a
Warriors,Path: AffiliationCatalog.affiliations.AffiliationDefinition.name,,missing,,,tx1_23r7j23ytrahlipdouwxtl3key,row1_4x3xlpgtufwmuo6sadzp57f2wa,message,,data/affiliations.ron:64:13,rev1_77110c2c5478d868f07c7b9662e445a6f317615fe8178b433afacc81973f0bf4
