english,description,translation,conditions,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
No cards match the current filters.,Visible Pool Viewer empty-state sentence when filters hide every card in the full catalog.,No cards match the current filters.,,translated,,,tx1_26d2facal3erykhb42nmeejora,row1_hjsvtx37zpajbrfnxnzjthclv4,message,,src/cumulus/screens/PoolViewerScreen.tsx:321:28,rev1_ced5361508380cb60e977d0a4b4f09b0b3d97d990cc7328064d3f4db05af09fd
Signature Cards,Visible Pool Viewer source-tab label for the Dream Avatar's authored signature cards.,Signature Cards,,translated,,,tx1_3z4odc7e7femmbukesbj5tl4du,row1_b2rbgltip6jv45sgr2774zenqu,message,,src/cumulus/screens/PoolViewerScreen.tsx:304:30,rev1_a30c5cd604440d8287dde5eb18fde65370313197bbfac0db7fee98816f1720a6
{tide_count} Tides,"Visible Pool Viewer disclosure summary showing the number of Tides used to construct the pool. tide_count is a visible nonnegative safe integer, can be zero in synthetic or incomplete data, and governs Tide number grammar.",{tide_count} Tides,disclosure.tideCount.plural=other,translated,,tide_count,tx1_4r7vbijoelukpvbblnbstuel5q,row1_b4zry4cuzzjtamn3rpuhhkatvi,message,,src/cumulus/screens/PoolViewerScreen.tsx:212:17,rev1_8df022b890a9541c5a408da92d69b3aac1128eed83b37e4fa723c2ffb5f297f7
{tide_count} Tide,"Visible Pool Viewer disclosure summary showing the number of Tides used to construct the pool. tide_count is a visible nonnegative safe integer, can be zero in synthetic or incomplete data, and governs Tide number grammar.",{tide_count} Tide,disclosure.tideCount.plural=one,translated,,tide_count,tx1_4r7vbijoelukpvbblnbstuel5q,row1_fzz4dlpj67bq4uxfc6ysn22diy,message,,src/cumulus/screens/PoolViewerScreen.tsx:212:17,rev1_1ae5469c31d83515afbea7e7bf0affd2fdc7fa7b2abda315a6bb8ae8c2f43e02
Characters,Compact visible Pool Viewer card-type filter label that keeps Character cards.,Characters,,translated,,,tx1_5f3eadihskkhkchsu6imq5lhsa,row1_jeg3csdmoboivlsq5dhh5ljwme,message,,src/cumulus/screens/PoolViewerScreen.tsx:338:30,rev1_e0251be15bcfbfe390a7f3c336edb6ca19d15c4dcf34029050e0d246c7481cd6
Type,Compact visible Pool Viewer sort-field option for card type.,Type,,translated,,,tx1_6gsuk7yfqasd2v4djovjsgsw2i,row1_irlvq27ecrkfhbhlzrliduu4v4,message,,src/cumulus/screens/PoolViewerScreen.tsx:411:25,rev1_39a70eb211ebbc13e1186cd3c041c63cbeefcbf1d85cef61ba21bedba64ab0e3
Battle Pool Viewer,Visible Pool Viewer heading for the floating Battle inspector.,Battle Pool Viewer,,translated,,,tx1_7h3jxoshsxcfhdh47a7wpyamdm,row1_6mhbtianefhkyv3cq3fok33zla,message,,src/cumulus/screens/PoolViewerScreen.tsx:390:27,rev1_faa5aebb04653c6c367a4fe7a6e4c8b2f710151fe33b6245b552de9f5a8a44e0
Cost X,Compact visible Pool Viewer Energy-cost filter option that selects cards with a variable printed cost.,Cost X,,translated,,,tx1_7jmztgkoxu7caxsrwmfotagxtu,row1_ij7odvrl2qi3vqwlflb44zqcri,message,,src/cumulus/screens/PoolViewerScreen.tsx:377:22,rev1_635f7d8e209c3e6dbbcb04cc0cdfd55e38ce2e21ad1c8d405e2a8cd6dbb33c1e
All Cards,Visible Pool Viewer source-tab label for the full card catalog.,All Cards,,translated,,,tx1_ag73dzp4igejbv7evjrklxildi,row1_n3u6ivcisxikkomoypim7nwujm,message,,src/cumulus/screens/PoolViewerScreen.tsx:300:28,rev1_9eff9abfe99b344ec340ab98bf5c923a13932bc361782273bef85ed554346895
This avatar has no signature cards.,Visible Pool Viewer empty-state sentence when the Dream Avatar has no authored signature cards.,This avatar has no signature cards.,,translated,,,tx1_ajrdojupxq3rwe32ppdp4ijqie,row1_sovzvxphdqxypqopia5js56aae,message,,src/cumulus/screens/PoolViewerScreen.tsx:325:30,rev1_988c2d58c10c4fc450e9ee6e4d511fb99088cdb1d728454ea2e31ca90263afed
